iter	Passed	Remaining
0	1531	304754
1	1973	195380
2	2477	162688
3	3064	150138
4	5669	221103
5	7434	240367
6	10300	284010
7	13267	318425
8	15921	337893
9	17427	331125
10	19334	332199
11	21384	335026
12	23994	345145
13	26674	354387
14	28992	357573
15	30872	355036
16	32989	355124
17	33140	335085
18	35562	338780
19	38208	343874
20	41370	352635
21	44063	356510
22	46990	361619
23	50157	367824
24	52923	370466
25	56046	375077
26	59045	378330
27	63340	389090
28	66989	395008
29	70418	399038
30	74087	403896
31	77537	407073
32	81120	410516
33	84401	412079
34	88423	416852
35	92647	422062
36	96437	424845
37	100761	429561
38	106362	439085
39	112282	449128
40	116617	452246
41	127562	479877
42	146525	534989
43	155471	551218
44	159768	550313
45	164317	550106
46	168430	548294
47	173263	548667
48	178639	550501
49	186834	560503
50	192984	563817
51	199986	569192
52	206485	572704
53	215111	581598
54	222841	587490
55	230747	593351
56	238371	598018
57	245658	601440
58	251892	601979
59	257870	601698
60	263008	599314
61	267898	596291
62	272148	591815
63	276924	588465
64	281580	584821
65	293293	595475
66	300257	596032
67	308119	598113
68	317329	602466
69	323940	601603
70	328414	596695
71	339501	603557
72	343184	597047
73	349888	595756
74	355443	592406
75	364008	593907
76	368586	588781
77	372432	582522
78	375534	575185
79	380284	570426
80	385118	565791
81	390086	561343
82	393567	554788
83	398329	550074
84	401554	543279
85	406062	538269
86	409610	532023
87	414121	527064
88	417688	520937
89	422240	516071
90	425803	510028
91	428940	503539
92	432117	497167
93	439119	495176
94	443579	490271
95	445914	483073
96	449284	477075
97	452984	471473
98	455091	464285
99	457561	457561
100	461118	451987
101	464017	445820
102	467330	440106
103	470415	434229
104	473601	428496
105	476875	422889
106	479654	416896
107	483582	411940
108	487609	407086
109	490416	401249
110	494424	396430
111	497371	390792
112	500248	385146
113	502856	379347
114	505393	373551
115	508638	368324
116	511198	362645
117	513768	357025
118	516789	351763
119	519696	346464
120	522420	341084
121	525784	336157
122	528712	330982
123	531529	325775
124	534062	320437
125	537150	315469
126	542014	311551
127	548575	308573
128	553066	304401
129	556829	299831
130	558968	294418
131	561803	289413
132	563722	283980
133	565799	278677
134	568228	273591
135	570944	268679
136	574223	264059
137	577490	259452
138	580573	254784
139	583808	250203
140	586223	245299
141	591685	241674
142	596911	237929
143	600895	233681
144	603635	228965
145	606613	224363
146	609406	219717
147	612299	215132
148	617757	211447
149	620247	206749
150	624777	202742
151	631647	199467
152	634471	194903
153	639166	190919
154	643845	186922
155	647655	182672
156	652010	178576
157	656274	174452
158	662381	170802
159	667579	166894
160	671454	162650
161	674234	158153
162	678227	153953
163	681843	149672
164	686514	145624
165	690592	141446
166	694119	137161
167	699556	133248
168	706746	129639
169	710655	125409
170	713942	121077
171	717522	116805
172	722509	112761
173	725383	108390
174	728250	104035
175	731421	99739
176	740911	96276
177	751799	92919
178	755791	88668
179	759529	84392
180	762557	80047
181	765486	75707
182	768333	71375
183	771059	67048
184	773053	62679
185	777361	58511
186	780288	54244
187	783836	50032
188	786360	45767
189	788558	41503
190	790799	37262
191	792803	33033
192	795794	28863
193	798968	24710
194	801474	20550
195	804388	16416
196	806812	12286
197	809789	8179
198	812579	4083
199	814379	0
